Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-09T21:27:52-04:00
Running ./reclaim_array_bm
Run on (8 X 24 MHz CPU s)
Load Average: 3.56, 2.61, 2.53
-------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                 Time             CPU   Iterations UserCounters...
BM_reclaim/ten_all_at_head/iterations:1000/manual_time_stddev                          6.08 ns          724 ns           20 items_per_second=435.638k/s time_per_reclaiming_write=6.08069ns
BM_reclaim/ten_all_at_head/iterations:1000/manual_time_cv                              5.28 %          2.32 %            20 items_per_second=5.00% time_per_reclaiming_write=5.28%
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_mean                             62.2 ns       115187 ns           20 items_per_second=16.4812M/s time_per_reclaiming_write=62.2288ns
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_median                           58.1 ns       114526 ns           20 items_per_second=17.2202M/s time_per_reclaiming_write=58.0795ns
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_stddev                           12.2 ns         2353 ns           20 items_per_second=2.23307M/s time_per_reclaiming_write=12.2192ns
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_cv                              19.64 %          2.04 %            20 items_per_second=13.55% time_per_reclaiming_write=19.64%
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_mean                          60.4 ns       156356 ns           20 items_per_second=17.384M/s time_per_reclaiming_write=60.3542ns
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_median                        58.4 ns       155845 ns           20 items_per_second=17.1326M/s time_per_reclaiming_write=58.3705ns
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_stddev                        14.2 ns         3238 ns           20 items_per_second=3.70924M/s time_per_reclaiming_write=14.2311ns
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_cv                           23.58 %          2.07 %            20 items_per_second=21.34% time_per_reclaiming_write=23.58%
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_mean           34.3 ns        31271 ns           20 items_per_second=29.2893M/s time_per_reclaiming_write=34.3379ns
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_median         33.8 ns        31115 ns           20 items_per_second=29.5903M/s time_per_reclaiming_write=33.795ns
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_stddev         2.84 ns         1658 ns           20 items_per_second=2.14084M/s time_per_reclaiming_write=2.839ns
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_cv             8.27 %          5.30 %            20 items_per_second=7.31% time_per_reclaiming_write=8.27%
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_mean           48.6 ns        30719 ns           20 items_per_second=21.597M/s time_per_reclaiming_write=48.6073ns
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_median         45.1 ns        30544 ns           20 items_per_second=22.1878M/s time_per_reclaiming_write=45.071ns
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_stddev         16.5 ns          715 ns           20 items_per_second=3.22149M/s time_per_reclaiming_write=16.5042ns
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_cv            33.95 %          2.33 %            20 items_per_second=14.92% time_per_reclaiming_write=33.95%
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_mean           61.4 ns        30958 ns           20 items_per_second=16.3562M/s time_per_reclaiming_write=61.3794ns
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_median         62.9 ns        30603 ns           20 items_per_second=15.889M/s time_per_reclaiming_write=62.94ns
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_stddev         3.85 ns         1136 ns           20 items_per_second=1.07886M/s time_per_reclaiming_write=3.84724ns
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_cv             6.27 %          3.67 %            20 items_per_second=6.60% time_per_reclaiming_write=6.27%
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_mean           94.6 ns        30809 ns           20 items_per_second=10.5841M/s time_per_reclaiming_write=94.597ns
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_median         93.9 ns        30833 ns           20 items_per_second=10.6522M/s time_per_reclaiming_write=93.8775ns
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_stddev         3.42 ns          675 ns           20 items_per_second=378.062k/s time_per_reclaiming_write=3.41707ns
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_cv             3.61 %          2.19 %            20 items_per_second=3.57% time_per_reclaiming_write=3.61%
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_mean           157 ns        31453 ns           20 items_per_second=6.37168M/s time_per_reclaiming_write=157.119ns
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_median         157 ns        31607 ns           20 items_per_second=6.3773M/s time_per_reclaiming_write=156.807ns
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_stddev        5.36 ns          627 ns           20 items_per_second=218.638k/s time_per_reclaiming_write=5.35671ns
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_cv            3.41 %          1.99 %            20 items_per_second=3.43% time_per_reclaiming_write=3.41%
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_mean           296 ns        32599 ns           20 items_per_second=3.37731M/s time_per_reclaiming_write=296.311ns
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_median         295 ns        32661 ns           20 items_per_second=3.3952M/s time_per_reclaiming_write=294.533ns
