2026-08-09T21:27:18-04:00
Running ./reclaim_vector_bm
Run on (8 X 24 MHz CPU s)
Load Average: 2.99, 2.38, 2.46
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"time_per_reclaiming_write"
"BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_cv",20,0.207989,0.00976024,,,0.163842,,,,0.207989
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_mean",20,37.008,26772,ns,,2.7131e+07,,,,3.7008e-08
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_median",20,36.7145,26699,ns,,2.72386e+07,,,,3.67145e-08
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_stddev",20,2.48503,455.136,ns,,1.72938e+06,,,,2.48503e-09
"BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_cv",20,0.0671483,0.0170005,,,0.0637417,,,,0.0671483
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_mean",20,47.864,27010.8,ns,,2.09574e+07,,,,4.7864e-08
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_median",20,47.3965,27025,ns,,2.10986e+07,,,,4.73965e-08
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_stddev",20,2.90938,480.899,ns,,1.12925e+06,,,,2.90938e-09
"BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_cv",20,0.0607844,0.0178039,,,0.0538833,,,,0.0607844
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_mean",20,72.1018,27128.5,ns,,1.38933e+07,,,,7.21018e-08
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_median",20,71.492,27161.5,ns,,1.39876e+07,,,,7.1492e-08
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_stddev",20,3.23473,504.09,ns,,564586,,,,3.23473e-09
"BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_cv",20,0.0448633,0.0185816,,,0.0406374,,,,0.0448633
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_mean",20,106.439,27455.5,ns,,9.45767e+06,,,,1.06439e-07
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_median",20,102.987,27432.5,ns,,9.71014e+06,,,,1.02987e-07
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_stddev",20,9.46455,516.685,ns,,743736,,,,9.46455e-09
"BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_cv",20,0.0889203,0.018819,,,0.0786384,,,,0.0889203
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_mean",20,162.47,27639.8,ns,,6.17728e+06,,,,1.6247e-07
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_median",20,164.477,27646.5,ns,,6.07997e+06,,,,1.64477e-07
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_stddev",20,9.73605,459.061,ns,,393390,,,,9.73605e-09
"BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_cv",20,0.0599254,0.0166087,,,0.0636833,,,,0.0599254
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_mean",20,337.923,28850.8,ns,,2.96782e+06,,,,3.37923e-07
