Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-09T21:27:18-04:00
Running ./reclaim_vector_bm
Run on (8 X 24 MHz CPU s)
Load Average: 2.99, 2.38, 2.46
-------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                 Time             CPU   Iterations UserCounters...
BM_reclaim/ten_all_at_head/iterations:1000/manual_time_stddev                          13.0 ns          491 ns           20 items_per_second=782.217k/s time_per_reclaiming_write=13.0063ns
BM_reclaim/ten_all_at_head/iterations:1000/manual_time_cv                             11.56 %          1.80 %            20 items_per_second=8.72% time_per_reclaiming_write=11.56%
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_mean                             66.5 ns       106619 ns           20 items_per_second=16.4169M/s time_per_reclaiming_write=66.5047ns
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_median                           58.7 ns       106233 ns           20 items_per_second=17.0309M/s time_per_reclaiming_write=58.717ns
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_stddev                           28.8 ns         2388 ns           20 items_per_second=3.6262M/s time_per_reclaiming_write=28.8027ns
BM_reclaim/ten_all_at_mid/iterations:1000/manual_time_cv                              43.31 %          2.24 %            20 items_per_second=22.09% time_per_reclaiming_write=43.31%
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_mean                          59.6 ns       151913 ns           20 items_per_second=17.3327M/s time_per_reclaiming_write=59.6055ns
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_median                        54.1 ns       152041 ns           20 items_per_second=18.4926M/s time_per_reclaiming_write=54.0765ns
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_stddev                        12.4 ns         1483 ns           20 items_per_second=2.83981M/s time_per_reclaiming_write=12.3973ns
BM_reclaim/ten_head_mid_tail/iterations:1000/manual_time_cv                           20.80 %          0.98 %            20 items_per_second=16.38% time_per_reclaiming_write=20.80%
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_mean           37.0 ns        26772 ns           20 items_per_second=27.131M/s time_per_reclaiming_write=37.008ns
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_median         36.7 ns        26699 ns           20 items_per_second=27.2386M/s time_per_reclaiming_write=36.7145ns
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_stddev         2.49 ns          455 ns           20 items_per_second=1.72938M/s time_per_reclaiming_write=2.48503ns
BM_reclaim_subscriber_scaling/subscribers:1/iterations:1000/manual_time_cv             6.71 %          1.70 %            20 items_per_second=6.37% time_per_reclaiming_write=6.71%
